,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
28,3,128,relu,L1,True,True,3,False,adam,13,64,categorical_crossentropy,0.7880260944366455,0.5104907155036926,0.762710452079773,0.593330979347229
29,3,128,relu,L1,True,True,3,False,adam,16,64,sparse_categorical_crossentropy,0.7927820086479187,0.49808526039123535,0.7588383555412292,0.5948535203933716
30,3,128,relu,L1,True,True,3,True,adam,14,64,categorical_crossentropy,0.7873947620391846,0.5085194706916809,0.7570707201957703,0.5934385657310486
31,3,128,relu,L1,True,True,3,True,adam,18,64,sparse_categorical_crossentropy,0.7979166507720947,0.48971638083457947,0.7532828450202942,0.598172664642334
32,3,128,relu,L2,False,False,3,False,adam,18,64,categorical_crossentropy,0.7941077351570129,0.49083206057548523,0.7577441334724426,0.5923188924789429
33,3,128,relu,L2,False,False,3,False,adam,13,64,sparse_categorical_crossentropy,0.7888047099113464,0.5111657977104187,0.7543771266937256,0.5899213552474976
34,3,128,relu,L2,False,False,3,True,adam,12,64,categorical_crossentropy,0.7835858464241028,0.5172786116600037,0.7625420689582825,0.5951979756355286
35,3,128,relu,L2,False,False,3,True,adam,17,64,sparse_categorical_crossentropy,0.7936237454414368,0.4923599064350128,0.7590909004211426,0.5984195470809937
36,3,128,relu,L2,False,True,3,False,adam,17,64,categorical_crossentropy,0.7927399277687073,0.4951707124710083,0.7478955984115601,0.6094468235969543
37,3,128,relu,L2,False,True,3,False,adam,11,64,sparse_categorical_crossentropy,0.7830176949501038,0.521162211894989,0.7506734132766724,0.598675012588501
38,3,128,relu,L2,False,True,3,True,adam,17,64,categorical_crossentropy,0.793329119682312,0.4927399754524231,0.7517676949501038,0.6030305027961731
39,3,128,relu,L2,False,True,3,True,adam,15,64,sparse_categorical_crossentropy,0.7905513644218445,0.5035536289215088,0.7544612884521484,0.6016542911529541
40,3,128,relu,L2,True,False,3,False,adam,13,64,categorical_crossentropy,0.7860690355300903,0.5102218389511108,0.7558080554008484,0.590971052646637
41,3,128,relu,L2,True,False,3,False,adam,14,64,sparse_categorical_crossentropy,0.7892886996269226,0.5049555897712708,0.7537037134170532,0.5949382185935974
42,3,128,relu,L2,True,False,3,True,adam,11,64,categorical_crossentropy,0.7844907641410828,0.5208559632301331,0.7586700320243835,0.5923938155174255
43,3,128,relu,L2,True,False,3,True,adam,15,64,sparse_categorical_crossentropy,0.7910984754562378,0.5023320913314819,0.7575757503509521,0.5950509309768677
44,3,128,relu,L2,True,True,3,False,adam,16,64,categorical_crossentropy,0.7940656542778015,0.4963560998439789,0.7547138333320618,0.5898566246032715
45,3,128,relu,L2,True,True,3,False,adam,17,64,sparse_categorical_crossentropy,0.7947390675544739,0.49259912967681885,0.7508417367935181,0.5961081981658936
46,3,128,relu,L2,True,True,3,True,adam,15,64,categorical_crossentropy,0.7923189997673035,0.5014429092407227,0.7537037134170532,0.5934628248214722
