,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
51,3,128,tanh,,False,False,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7896464467048645,0.5173482298851013,0.7566498517990112,0.5987758040428162
52,3,128,tanh,,False,True,3,False,rmsprop,14,64,categorical_crossentropy,0.7862583994865417,0.520331621170044,0.7575757503509521,0.5978418588638306
53,3,128,tanh,,False,True,3,False,rmsprop,16,64,sparse_categorical_crossentropy,0.789962112903595,0.5123056769371033,0.7594276070594788,0.5973033308982849
54,3,128,tanh,,False,True,3,True,rmsprop,15,64,categorical_crossentropy,0.7873526811599731,0.5167413353919983,0.755471408367157,0.6032474040985107
55,3,128,tanh,,False,True,3,True,rmsprop,16,64,sparse_categorical_crossentropy,0.788762629032135,0.5141543745994568,0.7571548819541931,0.5998355150222778
56,3,128,tanh,,True,False,3,False,rmsprop,14,64,categorical_crossentropy,0.7870790958404541,0.5201547741889954,0.7528619766235352,0.6028999090194702
57,3,128,tanh,,True,False,3,False,rmsprop,11,64,sparse_categorical_crossentropy,0.7835437655448914,0.5312947034835815,0.7521885633468628,0.6160595417022705
58,3,128,tanh,,True,False,3,True,rmsprop,15,64,categorical_crossentropy,0.7872264385223389,0.5184273719787598,0.7564814686775208,0.597010612487793
59,3,128,tanh,,True,False,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.787289559841156,0.5166650414466858,0.7537037134170532,0.598053514957428
60,3,128,tanh,,True,True,3,False,rmsprop,12,64,categorical_crossentropy,0.782723069190979,0.5291891694068909,0.7523568868637085,0.5940183401107788
61,3,128,tanh,,True,True,3,False,rmsprop,12,64,sparse_categorical_crossentropy,0.782996654510498,0.5266455411911011,0.7574074268341064,0.5996618866920471
62,3,128,tanh,,True,True,3,True,rmsprop,13,64,categorical_crossentropy,0.7860479950904846,0.5239219665527344,0.7532828450202942,0.600967288017273
63,3,128,tanh,,True,True,3,True,rmsprop,14,64,sparse_categorical_crossentropy,0.7861321568489075,0.5195285081863403,0.7535353302955627,0.5989913940429688
64,3,128,tanh,L1,False,False,3,False,rmsprop,17,64,categorical_crossentropy,0.7900883555412292,0.5126012563705444,0.75,0.6071762442588806
65,3,128,tanh,L1,False,False,3,False,rmsprop,15,64,sparse_categorical_crossentropy,0.7863426208496094,0.5181799530982971,0.7526935935020447,0.6108149886131287
66,3,128,tanh,L1,False,False,3,True,rmsprop,13,64,categorical_crossentropy,0.782870352268219,0.5274107456207275,0.7476431131362915,0.6104098558425903
67,3,128,tanh,L1,False,False,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7871212363243103,0.5170850157737732,0.7543771266937256,0.6056020259857178
68,3,128,tanh,L1,False,True,3,False,rmsprop,16,64,categorical_crossentropy,0.7892466187477112,0.5139189958572388,0.7502525448799133,0.5973216891288757
69,3,128,tanh,L1,False,True,3,False,rmsprop,17,64,sparse_categorical_crossentropy,0.7888888716697693,0.5119901299476624,0.7547979950904846,0.6008563041687012
70,3,128,tanh,L1,False,True,3,True,rmsprop,18,64,categorical_crossentropy,0.790382981300354,0.509154200553894,0.7484848499298096,0.6132467985153198
71,3,128,tanh,L1,False,True,3,True,rmsprop,19,64,sparse_categorical_crossentropy,0.7932449579238892,0.5055277943611145,0.7602693438529968,0.6026033759117126
72,3,128,tanh,L1,True,False,3,False,rmsprop,16,64,categorical_crossentropy,0.7880681753158569,0.5145922303199768,0.7608585953712463,0.5959522128105164
73,3,128,tanh,L1,True,False,3,False,rmsprop,19,64,sparse_categorical_crossentropy,0.7925505042076111,0.5074553489685059,0.7597643136978149,0.6010724306106567
74,3,128,tanh,L1,True,False,3,True,rmsprop,12,64,categorical_crossentropy,0.7831228971481323,0.5289317965507507,0.7592592835426331,0.6035488843917847
75,3,128,tanh,L1,True,False,3,True,rmsprop,17,64,sparse_categorical_crossentropy,0.7886574268341064,0.5135765671730042,0.7581650018692017,0.5965778827667236
76,3,128,tanh,L1,True,True,3,False,rmsprop,11,64,categorical_crossentropy,0.7811658382415771,0.5348142981529236,0.7559764385223389,0.6008278131484985
77,3,128,tanh,L1,True,True,3,False,rmsprop,17,64,sparse_categorical_crossentropy,0.7899200320243835,0.5120323300361633,0.7557238936424255,0.6026537418365479
78,3,128,tanh,L1,True,True,3,True,rmsprop,12,64,categorical_crossentropy,0.7845118045806885,0.5268051028251648,0.7527777552604675,0.601681113243103
79,3,128,tanh,L1,True,True,3,True,rmsprop,12,64,sparse_categorical_crossentropy,0.7821969985961914,0.5307511687278748,0.7556397318840027,0.5961050391197205
80,3,128,tanh,L2,False,False,3,False,rmsprop,16,64,categorical_crossentropy,0.7877525091171265,0.5139095783233643,0.7531144618988037,0.6101561188697815
81,3,128,tanh,L2,False,False,3,False,rmsprop,16,64,sparse_categorical_crossentropy,0.7894150018692017,0.5137774348258972,0.7530303001403809,0.6126077175140381
82,3,128,tanh,L2,False,False,3,True,rmsprop,11,64,categorical_crossentropy,0.7803451418876648,0.5343297123908997,0.7543771266937256,0.5988975167274475
83,3,128,tanh,L2,False,False,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7879419326782227,0.5176868438720703,0.7513468265533447,0.6096696257591248
84,3,128,tanh,L2,False,True,3,False,rmsprop,12,64,categorical_crossentropy,0.7851430773735046,0.5274146795272827,0.7531144618988037,0.6034801006317139
85,3,128,tanh,L2,False,True,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7844486236572266,0.5249471664428711,0.7551347017288208,0.6006402969360352
86,3,128,tanh,L2,False,True,3,True,rmsprop,17,64,categorical_crossentropy,0.7896043658256531,0.5134283304214478,0.7526935935020447,0.6046812534332275
87,3,128,tanh,L2,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7869528532028198,0.5160906910896301,0.7492424249649048,0.6063933372497559
88,3,128,tanh,L2,True,False,3,False,rmsprop,12,64,categorical_crossentropy,0.783922553062439,0.5279057025909424,0.7510101199150085,0.6030310988426208
89,3,128,tanh,L2,True,False,3,False,rmsprop,16,64,sparse_categorical_crossentropy,0.7897306680679321,0.514655351638794,0.7552188634872437,0.5979827046394348
90,3,128,tanh,L2,True,False,3,True,rmsprop,17,64,categorical_crossentropy,0.7920875549316406,0.511199951171875,0.7477272748947144,0.6107410192489624
91,3,128,tanh,L2,True,False,3,True,rmsprop,11,64,sparse_categorical_crossentropy,0.7817971110343933,0.5312777757644653,0.7536195516586304,0.6054249405860901
92,3,128,tanh,L2,True,True,3,False,rmsprop,16,64,categorical_crossentropy,0.7893097400665283,0.5126663446426392,0.7560606002807617,0.5982256531715393
93,3,128,tanh,L2,True,True,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7860269546508789,0.5240587592124939,0.7523568868637085,0.6011155247688293
94,3,128,tanh,L2,True,True,3,True,rmsprop,11,64,categorical_crossentropy,0.782996654510498,0.5335715413093567,0.7416666746139526,0.6099313497543335
95,3,128,tanh,L2,True,True,3,True,rmsprop,14,64,sparse_categorical_crossentropy,0.7860690355300903,0.5217354893684387,0.7588383555412292,0.6037132143974304
96,3,256,relu,,False,False,3,False,rmsprop,13,64,categorical_crossentropy,0.7849116325378418,0.5253647565841675,0.755892276763916,0.6082449555397034
97,3,256,relu,,False,False,3,False,rmsprop,14,64,sparse_categorical_crossentropy,0.7869528532028198,0.521032452583313,0.7568181753158569,0.6052562594413757
98,3,256,relu,,False,False,3,True,rmsprop,12,64,categorical_crossentropy,0.7845118045806885,0.5259425044059753,0.7569865584373474,0.594438374042511
99,3,256,relu,,False,False,3,True,rmsprop,19,64,sparse_categorical_crossentropy,0.7918139696121216,0.5070605278015137,0.7585017085075378,0.6065056920051575
100,3,256,relu,,False,True,3,False,rmsprop,11,64,categorical_crossentropy,0.7787036895751953,0.53361976146698,0.7509258985519409,0.6096941232681274
101,3,256,relu,,False,True,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7858796119689941,0.5223062038421631,0.7539562582969666,0.5972204208374023
102,3,256,relu,,False,True,3,True,rmsprop,17,64,categorical_crossentropy,0.7913299798965454,0.5103103518486023,0.7548821568489075,0.5956703424453735
103,3,256,relu,,False,True,3,True,rmsprop,18,64,sparse_categorical_crossentropy,0.7925294637680054,0.5094509720802307,0.7617003321647644,0.6025443077087402
104,3,256,relu,,True,False,3,False,rmsprop,13,64,categorical_crossentropy,0.7877735495567322,0.5216882228851318,0.7585858702659607,0.5981202125549316
